wavelength,ND_0.0,ND_1.0,ND_2.0,ND_3.5
998.0,1.000000000,0.113167003,0.011473300,0.000479540
999.0,1.000000000,0.112447001,0.011331900,0.000469570
1000.0,1.000000000,0.111859001,0.011193300,0.000460030
1001.0,1.000000000,0.111181997,0.011049300,0.000450610
1002.0,1.000000000,0.110395998,0.010907100,0.000441150
1003.0,1.000000000,0.109926000,0.010795000,0.000432360
1004.0,1.000000000,0.109150998,0.010658300,0.000423340
1005.0,1.000000000,0.108566999,0.010533500,0.000414870
1006.0,1.000000000,0.108003996,0.010413400,0.000406810
1007.0,1.000000000,0.107313000,0.010290700,0.000398390
1008.0,1.000000000,0.106693000,0.010163000,0.000390420
1009.0,1.000000000,0.106140003,0.010054000,0.000382700
1010.0,1.000000000,0.105475001,0.009933220,0.000375090
1011.0,1.000000000,0.104842000,0.009817550,0.000367880
1012.0,1.000000000,0.104213998,0.009697260,0.000360440
1013.0,1.000000000,0.103634998,0.009583840,0.000353820
1014.0,1.000000000,0.103169002,0.009484520,0.000346470
1015.0,1.000000000,0.102522999,0.009369920,0.000339500
1016.0,1.000000000,0.101922996,0.009260050,0.000333020
1017.0,1.000000000,0.101402000,0.009165290,0.000326540
1018.0,1.000000000,0.100759000,0.009044000,0.000320540
1019.0,1.000000000,0.100261003,0.008946920,0.000314380
1020.0,1.000000000,0.099672198,0.008850360,0.000308640
1021.0,1.000000000,0.099147402,0.008751080,0.000302530
1022.0,1.000000000,0.098683700,0.008657760,0.000296940
1023.0,1.000000000,0.098072797,0.008552870,0.000291270
1024.0,1.000000000,0.097555101,0.008466520,0.000285960
1025.0,1.000000000,0.097045302,0.008372610,0.000280640
1026.0,1.000000000,0.096588798,0.008286470,0.000275940
1027.0,1.000000000,0.096028201,0.008193300,0.000270680
1028.0,1.000000000,0.095596902,0.008112940,0.000266120
1029.0,1.000000000,0.095068000,0.008025910,0.000261290
1030.0,1.000000000,0.094595999,0.007943230,0.000257010
1031.0,1.000000000,0.094130300,0.007867550,0.000252430
1032.0,1.000000000,0.093664400,0.007779260,0.000247900
1033.0,1.000000000,0.093261696,0.007712270,0.000243500
1034.0,1.000000000,0.092677400,0.007625480,0.000239530
1035.0,1.000000000,0.092260398,0.007548970,0.000235620
1036.0,1.000000000,0.091812097,0.007472850,0.000231420
1037.0,1.000000000,0.091386102,0.007394530,0.000227420
1038.0,1.000000000,0.091022603,0.007323600,0.000223770
1039.0,1.000000000,0.090466700,0.007245870,0.000219970
1040.0,1.000000000,0.090069197,0.007173520,0.000216340
1041.0,1.000000000,0.089698203,0.007108260,0.000212560
1042.0,1.000000000,0.089071602,0.007025950,0.000209110
1043.0,1.000000000,0.088770799,0.006971150,0.000205830
1044.0,1.000000000,0.088304400,0.006902470,0.000202380
1045.0,1.000000000,0.087970801,0.006837020,0.000199000
1046.0,1.000000000,0.087566398,0.006770700,0.000195970
1047.0,1.000000000,0.087065600,0.006704970,0.000192960
1048.0,1.000000000,0.086719297,0.006647450,0.000189960
1049.0,1.000000000,0.086432502,0.006586200,0.000186790
1050.0,1.000000000,0.085990399,0.006521690,0.000183780
1051.0,1.000000000,0.085612603,0.006460170,0.000181120
1052.0,1.000000000,0.085277297,0.006407010,0.000178660
1053.0,1.000000000,0.084832199,0.006344330,0.000175750
1054.0,1.000000000,0.084541500,0.006291690,0.000173020
1055.0,1.000000000,0.084190801,0.006239690,0.000170740
1056.0,1.000000000,0.083754703,0.006179100,0.000168140
1057.0,1.000000000,0.083409898,0.006128570,0.000165750
1058.0,1.000000000,0.083221897,0.006085590,0.000163510
1059.0,1.000000000,0.082776800,0.006029020,0.000161140
1060.0,1.000000000,0.082405001,0.005975290,0.000158770
1061.0,1.000000000,0.082072496,0.005925860,0.000156500
1062.0,1.000000000,0.081776001,0.005878390,0.000154330
